brand_name,category,founded_year,headquarters,listed_status,stock_code,market,store_count,price_range,main_cities,official_website,source_url,query_date
mixue_bingcheng,茶饮,1997,河南郑州,已上市,02097,HK,48300,7-9元,全国, mixue.com,https://mp.weixin.qq.com/,2026-07-24
luckin_coffee,咖啡,2017,福建厦门,已上市,LKNCY,US,35000,10-20元,全国,luckincoffee.com,https://post.smzdm.com/,2026-07-24
starbucks,咖啡,1971,美国西雅图,已上市,SBUX,US,8703,35-45元,全国,starbucks.com.cn,https://m.21jingji.com/,2026-07-24
chagee,茶饮,2017,云南昆明,已上市,CHGY,US,7531,16-25元,全国,chagee.com,https://m.mp.oeeee.com/,2026-07-24
naixue_tea,茶饮,2015,广东深圳,已上市,02150,HK,1646,20-35元,一线及新一线城市,naixuecha.com,https://baike.baidu.com/,2026-07-24
chabaidao,茶饮,2008,四川成都,已上市,02555,HK,8621,10-20元,全国,chabaidao.com,https://baike.baidu.com/,2026-07-24
guming,茶饮,2010,浙江台州,已上市,01364,HK,14000,12-18元,全国,guming.com,https://m.winshang.com/,2026-07-24
cotti_coffee,咖啡,2022,福建厦门,未上市,,,10000,9.9-15元,全国,cotti.com,https://post.smzdm.com/,2026-07-24
heytea,茶饮,2012,广东江门,未上市,,,3000,20-30元,一二线城市,heytea.com,https://www.xiaohongshu.com/,2026-07-24
auntea_jenny,茶饮,2013,上海,未上市,,,554,10-20元,全国,aunteajenny.com,https://www.cyjm88.cn/,2026-07-24
chayan_yuese,茶饮,2013,湖南长沙,未上市,,,1000,15-25元,湖南/湖北/重庆/江苏,chayanyuese.com,https://finance.eastmoney.com/,2026-07-24
tims_china,咖啡,1964,加拿大,已上市,THCH,US,,25-40元,一二线城市,tims.cn,https://www.yilantop.com/,2026-07-24
shanghai_auntie,茶饮,2013,上海,未上市,,,5000,10-18元,全国,shanghaiauntie.com,https://jiameng.baidu.com/,2026-07-24
lelecha,茶饮,2015,上海,未上市,,,500,18-30元,一二线城市,lelecha.com,https://www.jiemian.com/,2026-07-24
